This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 4/6/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
691.05,+29.30,"41,842,767",707.71,708.16,684.70

9 APR 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0198,.90,3.25,710 / 715,1.45,4.40,-.0198,,
,,.0197,.85,3.15,715 / 720,1.45,4.40,-.0200,,
,,.0192,.70,2.95,720 / 725,1.70,4.65,-.0192,,
,,.0195,.65,3.10,725 / 730,1.70,4.80,-.0190,,
,,.0184,.35,2.85,730 / 735,1.70,4.40,-.0202,,
,,.0185,.40,2.80,735 / 740,2.35,5.20,-.0164,,
,,.0177,.15,2.75,740 / 745,1.65,5.15,-.0186,,
,,.0177,.10,2.80,745 / 750,1.90,5.50,-.0167,,
,,.0332,1.30,3.75,750 / 760,5.50,9.20,-.0341,,
,,.0335,1.60,3.40,760 / 770,6.00,9.75,-.0302,,
,,.0269,.85,2.60,770 / 780,6.15,10.05,-.0283,,
,,.0258,.60,2.65,780 / 790,6.35,10.35,-.0259,,
,,.0243,.65,2.30,790 / 800,6.60,10.50,-.0239,,
